Date,EUR/USD
23-10-2012,1.307018638
24-10-2012,1.297353387
25-10-2012,1.296512365
26-10-2012,1.293828487
29-10-2012,1.292407155
30-10-2012,1.290822268
31-10-2012,1.296260357
01-11-2012,1.296512365
02-11-2012,1.29483366
05-11-2012,1.282791376
06-11-2012,1.2802459
07-11-2012,1.280803323
08-11-2012,1.275998473
09-11-2012,1.274534822
12-11-2012,1.272394061
13-11-2012,1.270970941
14-11-2012,1.270970941
15-11-2012,1.273236632
16-11-2012,1.278445482
19-11-2012,1.275949717
20-11-2012,1.276943564
21-11-2012,1.281443477
22-11-2012,1.286504626
23-11-2012,1.287514925
26-11-2012,1.296596408
27-11-2012,1.298701286
28-11-2012,1.293828487
29-11-2012,1.295336723
30-11-2012,1.297353387
03-12-2012,1.299680233
05-12-2012,1.309929252
06-12-2012,1.307018638
07-12-2012,1.296344399
10-12-2012,1.290605664
11-12-2012,1.293828487
12-12-2012,1.301320791
13-12-2012,1.306677103
14-12-2012,1.307873487
17-12-2012,1.316586375
18-12-2012,1.316482425
19-12-2012,1.323101282
20-12-2012,1.321527719
21-12-2012,1.323766828
24-12-2012,1.31820035
25-12-2012,1.318043947
26-12-2012,1.318043947
27-12-2012,1.322576404
28-12-2012,1.32502985
31-12-2012,1.322768807
01-01-2013,1.320132017
02-01-2013,1.319783568
03-01-2013,1.318217754
04-01-2013,1.303271174
07-01-2013,1.30674541
08-01-2013,1.312508225
09-01-2013,1.308232665
10-01-2013,1.305483103
11-01-2013,1.327316165
14-01-2013,1.336201668
15-01-2013,1.337792635
16-01-2013,1.330849051
17-01-2013,1.329080343
18-01-2013,1.337255955
21-01-2013,1.332001328
22-01-2013,1.331150293
23-01-2013,1.331398368
24-01-2013,1.330849051
25-01-2013,1.33693409
28-01-2013,1.346601844
29-01-2013,1.344628215
30-01-2013,1.349163532
31-01-2013,1.356833696
01-02-2013,1.36109972
04-02-2013,1.364870906
05-02-2013,1.351168752
06-02-2013,1.358142018
07-02-2013,1.352393031
08-02-2013,1.338938951
11-02-2013,1.336826921
12-02-2013,1.340356708
13-02-2013,1.345206976
