Date,Crude_Oil
11-05-2012,96.12999725
14-05-2012,94.77999878
15-05-2012,93.98000336
16-05-2012,92.80999756
17-05-2012,92.55999756
18-05-2012,91.48000336
21-05-2012,92.56999969
22-05-2012,91.66000366
23-05-2012,89.90000153
24-05-2012,90.66000366
25-05-2012,90.86000061
29-05-2012,90.76000214
30-05-2012,87.81999969
31-05-2012,86.52999878
01-06-2012,83.23000336
04-06-2012,83.98000336
05-06-2012,84.29000092
06-06-2012,85.01999664
07-06-2012,84.81999969
08-06-2012,84.09999847
11-06-2012,82.69999695
12-06-2012,83.31999969
13-06-2012,82.62000275
14-06-2012,83.91000366
15-06-2012,84.02999878
18-06-2012,83.26999664
19-06-2012,84.02999878
20-06-2012,81.80000305
21-06-2012,78.19999695
22-06-2012,79.76000214
25-06-2012,79.20999908
26-06-2012,79.36000061
27-06-2012,80.20999908
28-06-2012,77.69000244
29-06-2012,84.95999908
02-07-2012,83.75
03-07-2012,87.66000366
05-07-2012,87.22000122
06-07-2012,84.44999695
09-07-2012,85.98999786
10-07-2012,83.91000366
11-07-2012,85.80999756
12-07-2012,86.08000183
13-07-2012,87.09999847
16-07-2012,88.43000031
17-07-2012,89.22000122
18-07-2012,89.87000275
19-07-2012,92.66000366
20-07-2012,91.44000244
23-07-2012,88.13999939
24-07-2012,88.5
25-07-2012,88.97000122
26-07-2012,89.38999939
27-07-2012,90.12999725
30-07-2012,89.77999878
31-07-2012,88.05999756
01-08-2012,88.91000366
02-08-2012,87.12999725
03-08-2012,91.40000153
06-08-2012,92.19999695
07-08-2012,93.66999817
08-08-2012,93.34999847
09-08-2012,93.36000061
10-08-2012,92.87000275
13-08-2012,92.73000336
14-08-2012,93.43000031
15-08-2012,94.33000183
16-08-2012,95.59999847
17-08-2012,96.01000214
20-08-2012,95.97000122
21-08-2012,96.68000031
22-08-2012,97.26000214
23-08-2012,96.26999664
24-08-2012,96.15000153
27-08-2012,95.47000122
28-08-2012,96.33000183
29-08-2012,95.48999786
30-08-2012,94.62000275
31-08-2012,96.47000122
04-09-2012,95.30000305
05-09-2012,95.36000061
06-09-2012,95.52999878
07-09-2012,96.41999817
10-09-2012,96.54000092
11-09-2012,97.16999817
12-09-2012,97.01000214
13-09-2012,98.30999756
14-09-2012,99
17-09-2012,96.62000275
18-09-2012,95.29000092
19-09-2012,91.98000336
20-09-2012,91.87000275
21-09-2012,92.88999939
24-09-2012,91.93000031
25-09-2012,91.37000275
26-09-2012,89.98000336
27-09-2012,91.84999847
28-09-2012,92.19000244
01-10-2012,92.48000336
02-10-2012,91.88999939
03-10-2012,88.13999939
04-10-2012,91.70999908
05-10-2012,89.87999725
08-10-2012,89.33000183
09-10-2012,92.38999939
10-10-2012,91.25
11-10-2012,92.06999969
12-10-2012,91.86000061
15-10-2012,91.84999847
16-10-2012,92.08999634
17-10-2012,92.12000275
18-10-2012,92.09999847
19-10-2012,90.05000305
22-10-2012,88.73000336
23-10-2012,86.66999817
24-10-2012,85.73000336
25-10-2012,86.05000305
26-10-2012,86.27999878
31-10-2012,86.23999786
01-11-2012,87.08999634
02-11-2012,84.86000061
05-11-2012,85.65000153
06-11-2012,88.70999908
07-11-2012,84.44000244
08-11-2012,85.08999634
09-11-2012,86.06999969
12-11-2012,85.56999969
13-11-2012,85.37999725
14-11-2012,86.31999969
15-11-2012,85.44999695
16-11-2012,86.66999817
19-11-2012,89.27999878
20-11-2012,86.75
21-11-2012,87.37999725
23-11-2012,88.27999878
26-11-2012,87.73999786
27-11-2012,87.18000031
28-11-2012,86.48999786
29-11-2012,88.06999969
30-11-2012,88.91000366
03-12-2012,89.08999634
04-12-2012,88.5
05-12-2012,87.87999725
06-12-2012,86.26000214
07-12-2012,85.93000031
10-12-2012,85.55999756
11-12-2012,85.79000092
12-12-2012,86.76999664
13-12-2012,85.88999939
14-12-2012,86.73000336
17-12-2012,87.19999695
18-12-2012,87.93000031
19-12-2012,89.51000214
20-12-2012,90.12999725
21-12-2012,88.66000366
24-12-2012,88.61000061
26-12-2012,90.98000336
27-12-2012,90.87000275
28-12-2012,90.80000305
31-12-2012,91.81999969
02-01-2013,93.12000275
03-01-2013,92.91999817
04-01-2013,93.08999634
07-01-2013,93.19000244
08-01-2013,93.15000153
09-01-2013,93.09999847
10-01-2013,93.81999969
11-01-2013,93.55999756
14-01-2013,94.13999939
15-01-2013,93.27999878
16-01-2013,94.23999786
17-01-2013,95.48999786
18-01-2013,95.55999756
22-01-2013,96.23999786
23-01-2013,95.23000336
24-01-2013,95.94999695
25-01-2013,95.87999725
28-01-2013,96.44000244
29-01-2013,97.56999969
30-01-2013,97.94000244
31-01-2013,97.48999786
01-02-2013,97.76999664
04-02-2013,96.16999817
05-02-2013,96.63999939
06-02-2013,96.62000275
07-02-2013,95.83000183
08-02-2013,95.72000122
11-02-2013,97.02999878
12-02-2013,97.51000214
13-02-2013,97.01000214
14-02-2013,97.30999756
15-02-2013,95.86000061
19-02-2013,96.66000366
20-02-2013,94.45999908
21-02-2013,92.83999634
22-02-2013,93.12999725
25-02-2013,93.11000061
26-02-2013,92.62999725
27-02-2013,92.76000214
28-02-2013,92.05000305
01-03-2013,90.68000031
04-03-2013,90.12000275
05-03-2013,90.81999969
06-03-2013,90.43000031
07-03-2013,91.55999756
08-03-2013,91.94999695
11-03-2013,92.05999756
12-03-2013,92.54000092
13-03-2013,92.51999664
14-03-2013,93.02999878
15-03-2013,93.44999695
18-03-2013,93.73999786
19-03-2013,92.16000366
20-03-2013,92.95999908
21-03-2013,92.44999695
22-03-2013,93.70999908
25-03-2013,94.80999756
26-03-2013,96.33999634
27-03-2013,96.58000183
28-03-2013,97.23000336
01-04-2013,97.06999969
02-04-2013,97.19000244
03-04-2013,94.44999695
04-04-2013,93.26000214
05-04-2013,92.69999695
08-04-2013,93.36000061
09-04-2013,94.19999695
10-04-2013,94.63999939
11-04-2013,93.51000214
12-04-2013,91.29000092
15-04-2013,88.70999908
16-04-2013,88.72000122
17-04-2013,86.68000031
18-04-2013,87.73000336
